question,answer
Tôi có thể đặt lịch khám Mắt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Mắt qua website hoặc tổng đài.
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị sốt, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị tiêu chảy, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Hô hấp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Hô hấp qua website hoặc tổng đài.
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng chóng mặt có nguy hiểm không?,Triệu chứng chóng mặt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
"Tôi bị buồn nôn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Răng Hàm Mặt để được bác sĩ thăm khám.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
"Tôi bị sốt, đau mắt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
"Tôi bị đau ngực, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị sốt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Cơ xương khớp để được bác sĩ thăm khám.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị ngứa, mẩn đỏ, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về cao huyết áp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Hô hấp.
Giá khám ở khoa Nhi là bao nhiêu?,Chi phí khám ở khoa Nhi phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị phát ban, khó thở, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng buồn nôn có nguy hiểm không?,Triệu chứng buồn nôn có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Răng Hàm Mặt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Răng Hàm Mặt qua website hoặc tổng đài.
"Tôi bị đau khớp, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tiêu hóa để được bác sĩ thăm khám.
"Tôi bị sốt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Da liễu ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Da liễu qua website hoặc tổng đài.
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Y học cổ truyền.
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi có thể đặt lịch khám Răng Hàm Mặt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Răng Hàm Mặt qua website hoặc tổng đài.
"Tôi bị đau mắt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Thần kinh ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Thần kinh qua website hoặc tổng đài.
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
Dịch vụ chụp X-quang có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ chụp X-quang."
Tôi muốn gặp bác sĩ chuyên về đau thần kinh tọa,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Y học cổ truyền.
Bệnh viện có khoa Tiêu hóa không?,"Có, bệnh viện có chuyên khoa Tiêu hóa."
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Khoa Da liễu làm việc khi nào?,"Khoa Da liễu làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
"Tôi bị sụt cân, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau mắt, buồn nôn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị ho, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tiêu hóa để được bác sĩ thăm khám.
"Tôi bị sưng khớp, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị phát ban, mệt mỏi, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị chán ăn, buồn nôn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
"Tôi bị đau ngực, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tiêu hóa.
Dịch vụ xét nghiệm máu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ xét nghiệm máu."
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Tôi có thể đặt lịch khám Hô hấp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Hô hấp qua website hoặc tổng đài.
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Nội.
"Tôi bị khó thở, ngứa, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng ngứa có nguy hiểm không?,Triệu chứng ngứa có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Triệu chứng sốt có nguy hiểm không?,Triệu chứng sốt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về trầm cảm,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tim mạch.
Tôi có thể đặt lịch khám Nội ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nội qua website hoặc tổng đài.
"Tôi bị đau họng, khó thở, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Da liễu.
Khoa Nội làm việc khi nào?,"Khoa Nội làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau mắt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Răng Hàm Mặt để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Phục hồi chức năng.
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
"Tôi bị ho, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Cơ xương khớp để được bác sĩ thăm khám.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau mắt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Mắt để được bác sĩ thăm khám.
"Tôi bị ngứa, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Triệu chứng sốt có nguy hiểm không?,Triệu chứng sốt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau lưng, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Tôi cần tư vấn về viêm da,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm da.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Cơ xương khớp là bao nhiêu?,Chi phí khám ở khoa Cơ xương khớp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị khó thở, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Tiêu hóa ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tiêu hóa qua website hoặc tổng đài.
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Mắt không?,"Có, bệnh viện có chuyên khoa Mắt."
Triệu chứng chóng mặt có nguy hiểm không?,Triệu chứng chóng mặt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau đầu, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Da liễu để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về cao huyết áp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Thần kinh.
Bệnh viện có khoa Da liễu không?,"Có, bệnh viện có chuyên khoa Da liễu."
Khoa Phục hồi chức năng làm việc khi nào?,"Khoa Phục hồi chức năng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Thần kinh ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Thần kinh qua website hoặc tổng đài.
Triệu chứng sốt có nguy hiểm không?,Triệu chứng sốt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ xét nghiệm máu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ xét nghiệm máu."
"Tôi bị sưng khớp, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Giá khám ở khoa Tiêu hóa là bao nhiêu?,Chi phí khám ở khoa Tiêu hóa phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Y học cổ truyền.
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Cơ xương khớp.
"Tôi bị đau họng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tim mạch.
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Hô hấp để được bác sĩ thăm khám.
Bệnh viện có khoa Mắt không?,"Có, bệnh viện có chuyên khoa Mắt."
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tiêu hóa.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Bệnh viện có khoa Răng Hàm Mặt không?,"Có, bệnh viện có chuyên khoa Răng Hàm Mặt."
Tôi có thể đặt lịch khám Tim mạch ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tim mạch qua website hoặc tổng đài.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Tai Mũi Họng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tai Mũi Họng qua website hoặc tổng đài.
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau họng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
"Tôi bị tiêu chảy, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị sốt, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng chán ăn có nguy hiểm không?,Triệu chứng chán ăn có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng đau mắt có nguy hiểm không?,Triệu chứng đau mắt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
"Tôi bị chán ăn, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
Triệu chứng tiêu chảy có nguy hiểm không?,Triệu chứng tiêu chảy có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Triệu chứng ho có nguy hiểm không?,Triệu chứng ho có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
Triệu chứng chóng mặt có nguy hiểm không?,Triệu chứng chóng mặt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Thần kinh ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Thần kinh qua website hoặc tổng đài.
"Tôi bị ngứa, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Răng Hàm Mặt để được bác sĩ thăm khám.
"Tôi bị sụt cân, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
