question,answer
"Bệnh viện có dịch vụ tư vấn từ xa không?","Hiện tại bệnh viện chưa triển khai dịch vụ tư vấn từ xa. Vui lòng đến khám trực tiếp."
"Tôi muốn hiến máu","Bạn có thể liên hệ với khoa Huyết học hoặc các trung tâm hiến máu để biết thông tin chi tiết."
"Làm sao để biết bệnh viện có giường trống không?","Thông tin về giường bệnh thường được quản lý nội bộ. Trường hợp cần nhập viện, bác sĩ sẽ sắp xếp cho bạn."
"Tôi bị dị ứng thuốc","Bạn cần thông báo tiền sử dị ứng này với bác sĩ và nhân viên y tế khi đến khám."
"Giá dịch vụ [Tên dịch vụ cụ thể]","Vui lòng liên hệ quầy lễ tân hoặc bộ phận tài chính kế toán để biết giá cụ thể của từng dịch vụ."
"Tôi muốn đặt lịch khám online","Vui lòng sử dụng chức năng đặt lịch trên trang web hoặc ứng dụng di động (nếu có)."
"Bệnh viện có khám vào ngày lễ không?","Bệnh viện thường có lịch làm việc đặc biệt vào ngày lễ. Vui lòng kiểm tra thông báo trên trang web hoặc liên hệ trực tiếp."
"Tôi bị đau lưng","Bạn nên đến chuyên khoa Cơ xương khớp hoặc Thần kinh."
"Bệnh viện có khoa xét nghiệm không?","Có, bệnh viện có khoa Xét nghiệm với đầy đủ trang thiết bị."
"Tôi muốn hỏi về kết quả X-quang","Bạn cần đến phòng chẩn đoán hình ảnh hoặc gặp bác sĩ đã chỉ định để được giải thích kết quả X-quang."
"Thủ tục nhập viện như thế nào?","Thủ tục nhập viện thường bao gồm: Có chỉ định của bác sĩ, hoàn tất thủ tục hành chính tại phòng tiếp đón, và được hướng dẫn lên khoa."
"Tôi bị mất giấy tờ khám bệnh","Bạn cần liên hệ phòng Hành chính hoặc bộ phận lưu trữ hồ sơ để được cấp lại bản sao (có thể mất phí)."
"Bệnh viện có dịch vụ xe lăn không?","Có, bệnh viện có hỗ trợ xe lăn cho bệnh nhân gặp khó khăn trong di chuyển."
"Làm sao để tìm phòng ban/khoa?","Bạn có thể hỏi nhân viên lễ tân hoặc bảo vệ tại sảnh chính để được hướng dẫn đến đúng phòng ban/khoa."
"Bệnh viện có căng tin không?","Có, bệnh viện có căng tin phục vụ ăn uống cho bệnh nhân và người nhà."
"Tôi muốn ứng tuyển vào bệnh viện","Vui lòng truy cập mục Tuyển dụng trên trang web của bệnh viện để xem các vị trí đang tuyển và nộp hồ sơ."
"Lịch trực của bác sĩ hôm nay","Thông tin chi tiết về lịch trực của bác sĩ thường không công khai rộng rãi. Vui lòng liên hệ để đặt lịch khám theo chuyên khoa."
"Bệnh viện có khám chuyên gia không?","Có, bệnh viện có đội ngũ bác sĩ chuyên gia ở nhiều lĩnh vực. Bạn có thể tìm hiểu thêm trên trang Đội ngũ bác sĩ."
"Phòng khám đa khoa là gì?","Phòng khám đa khoa là nơi khám và điều trị nhiều loại bệnh khác nhau, thường là các bệnh thông thường, không yêu cầu nhập viện."
"Khi nào cần đi khám bác sĩ?","Bạn nên đi khám bác sĩ khi có các triệu chứng bất thường kéo dài, nghi ngờ mắc bệnh, cần tư vấn y tế hoặc kiểm tra sức khỏe định kỳ."
"Tôi có thể đặt câu hỏi về sức khỏe không?","Bạn có thể hỏi các câu hỏi tổng quát về sức khỏe. Tuy nhiên, để được chẩn đoán và tư vấn y tế chính xác, bạn cần gặp bác sĩ."
"Cảm ơn","Không có gì ạ! Rất vui được phục vụ bạn."
"Tạm biệt","Tạm biệt! Chúc bạn một ngày tốt lành."
"Bạn là ai?","Tôi là chatbot tự động của bệnh viện, được thiết kế để trả lời các câu hỏi thường gặp."
"Bạn làm được gì?","Tôi có thể cung cấp thông tin về các chuyên khoa, dịch vụ, lịch làm việc, địa chỉ bệnh viện và trả lời các câu hỏi cơ bản khác."
